"","OTU","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_1438","16S_1438",0,24,0,0,64,0,0,0,0,0,34,237,0,0,0,0,0,0,0,85,0,27,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"16S_1439","16S_1439",0,0,53,0,45,0,40,0,48,73,0,0,0,0,56,0,0,0,0,101,0,0,0,0,0,0,55,0,0,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_1440","16S_1440",42,26,0,31,0,36,0,0,0,23,19,0,43,42,0,0,0,67,67,0,0,34,0,0,0,40,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1441","16S_1441",0,18,15,0,0,0,0,27,0,18,0,43,37,0,43,46,28,0,0,0,15,52,0,30,0,55,17,26,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1443","16S_1443",55,33,0,0,0,38,0,59,0,0,0,0,22,25,0,0,20,36,27,39,0,23,0,0,0,34,0,0,56,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_1444","16S_1444",0,39,43,0,50,0,0,44,0,0,0,0,0,0,0,0,20,12,16,0,22,45,33,50,28,19,25,21,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_1445","16S_1445",0,38,13,43,0,45,0,25,0,0,93,0,0,0,26,0,0,56,86,0,0,18,0,0,0,0,24,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1447","16S_1447",17,15,17,0,0,51,55,8,7,27,16,0,13,0,0,6,58,9,16,0,10,23,32,11,21,22,11,10,11,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1450","16S_1450",0,70,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"16S_1452","16S_1452",19,32,9,0,3,50,57,8,13,23,23,0,12,0,0,0,48,0,8,0,25,17,34,11,20,20,16,0,14,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1453","16S_1453",0,59,55,0,50,0,0,0,0,0,0,55,55,0,0,0,49,0,0,0,0,42,0,38,0,0,59,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"16S_1454","16S_1454",0,0,0,0,0,26,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,340,50,0,0,17,0,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA
"16S_1455","16S_1455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_1457","16S_1457",0,31,21,8,0,46,35,0,0,0,37,18,42,0,34,0,43,0,31,0,0,30,23,0,0,39,0,0,23,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1458","16S_1458",0,0,0,0,0,0,0,69,0,0,0,0,0,20,25,81,25,37,0,48,61,49,0,0,0,0,21,25,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_1459","16S_1459",73,0,34,36,0,0,0,0,0,0,0,49,0,0,51,0,0,0,0,0,32,0,44,43,0,51,0,47,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_1460","16S_1460",18,33,0,0,0,23,0,12,15,0,45,16,0,36,15,50,56,1,0,0,0,29,0,0,0,41,24,18,28,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_1462","16S_1462",0,0,0,36,0,0,0,64,0,0,0,0,12,0,23,82,0,43,0,59,84,56,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_1467","16S_1467",0,32,59,0,60,0,19,66,0,0,72,0,0,0,0,0,24,0,20,28,47,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA,NA
"16S_1468","16S_1468",23,38,18,0,0,54,48,9,5,16,14,0,9,0,0,0,65,0,11,0,17,22,31,11,17,22,15,0,12,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1472","16S_1472",0,0,0,0,0,0,0,62,0,0,0,0,0,27,25,89,35,44,0,33,64,45,0,0,0,0,16,15,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_1474","16S_1474",0,0,5,40,0,120,142,0,8,0,14,19,0,0,0,0,0,0,14,0,0,0,42,0,0,0,0,0,50,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1475","16S_1475",0,32,65,0,56,0,30,62,0,0,0,0,0,0,0,0,28,0,17,23,44,0,0,0,0,71,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA,NA
"16S_1476","16S_1476",0,0,91,0,147,0,0,12,0,0,0,16,0,0,0,0,64,0,0,0,0,0,55,21,47,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1477","16S_1477",0,0,77,0,111,0,0,0,0,0,0,21,0,0,0,0,65,0,0,0,17,0,67,22,54,0,19,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1481","16S_1481",0,0,55,43,0,0,0,49,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,71,41,38,17,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_1482","16S_1482",0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"16S_1485","16S_1485",0,25,33,0,40,0,0,57,0,0,0,0,0,0,0,0,23,16,13,0,0,46,33,52,21,39,32,20,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_1491","16S_1491",63,0,33,36,0,0,0,0,0,0,0,41,0,0,44,0,0,0,0,0,31,0,49,42,0,54,0,54,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_1492","16S_1492",16,16,27,13,38,58,0,103,0,0,0,0,53,0,0,0,23,0,0,0,15,76,0,0,0,9,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polynucleobacter",NA
"16S_1493","16S_1493",0,0,21,0,0,33,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,307,40,0,0,19,0,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA
"16S_1495","16S_1495",43,0,0,0,0,0,0,0,72,21,38,0,22,0,0,0,28,44,23,35,29,0,0,0,0,51,0,0,31,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"16S_1497","16S_1497",63,0,35,24,0,0,0,0,0,0,0,45,0,0,47,0,0,0,0,0,30,31,44,56,0,38,0,32,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_1498","16S_1498",0,0,59,0,61,0,0,0,55,35,0,0,0,0,43,0,43,0,0,113,0,0,0,0,35,0,0,0,0,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_1501","16S_1501",29,91,0,69,39,0,0,70,0,0,24,0,0,0,0,0,65,0,21,0,34,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1503","16S_1503",24,19,23,17,19,0,39,30,17,0,0,0,0,0,0,0,27,0,0,31,0,17,39,34,0,43,42,20,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_1504","16S_1504",0,47,0,0,0,0,0,20,0,0,25,26,40,29,0,0,25,29,0,20,16,49,0,56,0,28,31,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1510","16S_1510",22,0,0,0,54,0,0,70,0,0,33,0,0,0,0,0,61,84,24,48,43,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1511","16S_1511",0,38,14,44,0,37,0,19,0,0,80,0,0,0,0,0,0,60,91,0,0,26,0,0,0,0,30,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1513","16S_1513",0,0,65,0,118,0,0,17,0,0,0,13,0,0,0,0,76,0,0,0,0,0,52,26,51,18,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1514","16S_1514",0,0,0,0,0,0,0,29,0,19,0,41,32,0,44,36,24,0,0,0,24,52,0,40,0,52,23,20,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1515","16S_1515",0,0,0,22,0,0,0,56,0,0,0,0,15,0,30,90,0,50,0,54,78,40,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_1518","16S_1518",42,20,0,0,0,28,0,34,0,0,19,74,0,0,0,20,0,15,88,0,80,0,0,0,0,13,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA
"16S_1519","16S_1519",36,0,0,0,0,54,0,54,0,0,63,0,90,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,71,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA
"16S_1520","16S_1520",17,34,0,0,0,32,0,8,13,0,41,23,0,21,11,58,42,7,0,0,0,33,0,0,0,32,15,22,24,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA,NA
"16S_1521","16S_1521",0,21,0,0,0,0,0,0,0,0,0,0,32,0,61,25,0,102,0,65,49,0,0,0,0,78,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola",NA
"16S_1522","16S_1522",0,0,0,0,0,77,46,59,0,0,0,0,0,24,36,36,0,0,0,0,0,0,0,42,0,0,51,62,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"16S_1523","16S_1523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,44,0,0,54,46,0,46,19,28,78,23,42,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA
"16S_1526","16S_1526",0,26,0,0,0,21,0,0,0,62,0,0,0,0,0,0,37,22,24,25,13,63,48,0,44,0,0,31,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Dechloromonas",NA
"16S_1529","16S_1529",0,0,37,35,0,0,57,0,0,0,0,35,0,0,0,83,0,0,0,38,60,0,0,0,0,25,0,0,61,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_1530","16S_1530",0,0,8,44,0,146,114,0,26,0,0,9,0,0,0,0,0,0,8,0,0,0,39,0,0,0,0,0,37,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1531","16S_1531",0,0,5,52,0,148,104,0,31,0,10,13,0,0,0,0,0,0,13,0,0,0,33,0,0,0,0,0,22,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1532","16S_1532",49,39,0,0,0,21,0,28,0,15,53,0,0,18,16,0,36,43,0,0,0,15,0,15,0,31,15,35,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1534","16S_1534",22,0,0,0,0,61,0,53,0,0,22,0,29,38,0,0,22,0,78,0,0,63,0,0,0,0,40,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1535","16S_1535",20,0,0,0,0,49,0,65,0,0,23,0,22,37,0,0,20,0,83,0,0,62,0,0,0,47,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1539","16S_1539",58,0,0,0,0,0,0,0,0,59,90,0,0,84,0,0,0,0,65,0,0,0,0,0,0,69,0,0,0,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",NA
"16S_1540","16S_1540",0,0,0,0,0,27,0,22,0,0,0,25,0,51,0,37,0,0,20,0,0,142,0,0,0,45,22,34,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_1542","16S_1542",0,0,0,0,0,19,14,0,0,0,25,0,0,0,83,21,35,0,55,0,0,46,0,0,16,28,0,62,20,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1544","16S_1544",0,0,61,0,42,0,32,0,36,63,0,0,0,0,61,0,0,0,0,88,0,0,0,0,0,0,40,0,0,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_1546","16S_1546",0,0,0,0,0,39,0,0,0,0,0,74,0,0,0,0,0,46,13,0,0,0,0,0,12,0,0,0,41,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA,NA
"16S_1548","16S_1548",28,12,0,53,0,0,35,48,41,0,0,0,29,44,0,0,0,0,48,0,83,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"16S_1550","16S_1550",0,71,20,0,0,54,40,0,0,25,0,37,0,0,0,0,74,0,0,0,0,36,0,0,0,0,0,0,46,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus",NA
"16S_1551","16S_1551",0,43,0,0,0,43,0,0,0,0,113,0,0,0,0,0,35,0,105,0,0,39,0,0,0,0,42,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1555","16S_1555",0,32,0,0,0,36,0,20,0,0,77,0,0,0,0,0,0,0,84,0,0,34,0,42,0,0,25,0,69,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1556","16S_1556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1560","16S_1560",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767",NA,NA
"16S_1561","16S_1561",40,43,126,73,0,21,0,0,0,0,45,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA
"16S_1564","16S_1564",44,0,0,0,0,16,0,22,0,17,23,0,44,48,0,0,35,25,16,19,15,38,0,0,0,32,0,0,22,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"16S_1565","16S_1565",0,0,0,0,0,22,18,0,0,0,32,0,0,0,46,21,26,0,60,0,0,58,0,0,8,39,0,67,19,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1567","16S_1567",0,44,42,0,20,0,0,57,0,0,0,0,0,0,0,56,50,0,0,31,0,0,0,0,66,0,49,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"16S_1568","16S_1568",0,0,0,25,0,0,49,63,31,0,33,23,0,22,0,0,0,52,28,18,0,28,0,0,0,0,43,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_1572","16S_1572",53,0,0,0,0,0,6,0,0,4,38,0,40,48,31,37,0,21,19,0,0,0,0,22,0,39,56,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_1580","16S_1580",0,0,0,16,0,0,0,19,0,0,0,33,0,0,0,30,0,0,0,0,0,0,0,0,48,0,16,0,0,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA
"16S_1582","16S_1582",0,0,10,47,0,98,147,0,7,0,0,10,0,0,0,0,0,0,10,0,0,0,38,0,0,0,0,0,43,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1583","16S_1583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_1586","16S_1586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_1588","16S_1588",0,0,74,0,107,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,9,0,63,0,34,0,0,52,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1592","16S_1592",0,0,0,0,0,44,38,0,11,51,31,0,0,0,43,0,30,0,0,0,0,54,28,0,0,38,0,0,37,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1593","16S_1593",0,0,0,0,0,0,0,83,0,0,0,0,81,0,0,0,0,0,31,0,68,0,0,0,49,40,0,53,0,"Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria",NA,NA,NA
"16S_1596","16S_1596",0,0,0,0,68,0,0,18,0,0,32,175,0,0,0,0,0,0,0,43,0,41,0,27,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"16S_1600","16S_1600",50,47,63,39,54,0,0,25,0,0,0,47,0,0,0,0,47,0,0,0,0,31,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"16S_1601","16S_1601",25,34,0,0,0,48,13,0,0,0,23,0,40,38,0,63,0,0,81,0,0,0,0,0,0,0,0,37,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1602","16S_1602",0,51,27,0,0,53,39,0,0,13,0,0,0,0,0,0,53,0,0,0,0,33,0,0,0,0,97,0,36,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus",NA
"16S_1612","16S_1612",0,56,0,0,0,0,0,17,0,0,33,26,31,0,0,0,29,0,0,13,23,39,0,46,0,39,46,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1616","16S_1616",64,73,48,0,39,0,0,31,0,0,0,45,0,0,0,0,52,0,0,0,0,45,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"16S_1617","16S_1617",30,27,20,25,23,0,0,24,29,0,0,0,0,0,0,0,36,0,0,14,0,21,42,27,0,27,38,14,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_1618","16S_1618",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,25,0,0,0,0,0,0,16,281,20,0,0,31,0,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA
"16S_1619","16S_1619",39,0,0,0,0,22,0,0,0,0,0,0,64,0,0,0,24,0,27,0,26,51,0,0,0,80,63,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1620","16S_1620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1621","16S_1621",38,40,52,0,0,51,0,0,0,29,0,0,0,52,0,0,0,73,60,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1622","16S_1622",29,0,20,52,0,0,27,69,41,0,0,0,33,44,46,0,0,0,33,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"16S_1632","16S_1632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1634","16S_1634",20,24,0,0,0,32,45,0,0,24,17,0,0,41,0,0,34,66,58,0,29,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1640","16S_1640",0,31,0,0,7,34,0,11,6,0,35,16,0,30,18,48,47,0,0,0,0,36,0,10,0,29,24,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA,NA
"16S_1641","16S_1641",0,0,16,40,0,106,96,0,25,0,14,12,0,0,0,0,0,0,18,0,0,0,29,0,0,0,0,0,32,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_1643","16S_1643",0,29,0,0,0,13,0,0,0,0,0,0,0,0,0,0,27,27,18,23,24,67,0,0,39,0,61,48,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae",NA,NA
"16S_1644","16S_1644",0,32,0,0,20,15,0,0,9,0,0,0,59,46,61,0,0,0,0,0,0,0,0,86,0,0,52,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Roseivirga",NA
"16S_1646","16S_1646",36,43,34,0,0,21,0,0,0,28,26,0,0,0,44,0,0,27,30,0,39,0,0,0,0,0,36,21,0,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"16S_1647","16S_1647",0,0,0,0,0,0,0,25,0,15,0,32,26,0,39,24,39,0,0,0,20,51,0,28,0,48,17,21,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1648","16S_1648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_1650","16S_1650",0,30,0,0,0,51,0,36,0,0,92,0,0,35,0,0,0,0,76,0,0,33,0,0,0,0,31,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
"16S_1651","16S_1651",0,0,0,0,44,0,0,0,0,0,43,192,0,0,0,0,0,0,0,62,0,43,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"16S_1652","16S_1652",13,36,0,0,0,25,0,14,10,0,35,18,0,20,22,45,28,5,0,0,0,40,0,0,0,25,22,14,11,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_1653","16S_1653",0,49,0,0,13,26,0,13,4,0,34,12,0,28,17,57,36,0,0,0,0,30,0,11,0,33,20,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_1654","16S_1654",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,101,0,30,68,57,0,"Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria",NA,NA,NA
"16S_1655","16S_1655",0,0,0,0,55,0,0,0,0,0,39,164,39,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"16S_1658","16S_1658",0,0,0,0,0,19,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,25,0,282,14,0,0,11,0,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA
"16S_1661","16S_1661",17,17,17,14,16,47,0,121,41,0,0,0,35,0,6,0,17,0,0,0,12,0,0,0,0,19,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polynucleobacter",NA
"16S_1664","16S_1664",20,0,0,34,36,34,22,40,44,0,0,0,23,28,0,0,0,0,44,0,0,0,53,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"16S_1665","16S_1665",0,58,0,0,58,0,0,0,0,0,23,154,0,0,18,0,0,0,0,49,0,18,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
